accuracy,precision,recall,f1_score,f2_score,best_threshold,tp,tn,fp,fn,ml_type,balance_method,dataset
0.815023163467902,0.698159509202454,0.9443983402489626,0.8028218694885362,0.8821705426356589,0.2399999999999999,1138,1325,492,67,lr,under,over_sampled_residual_cnn_features_128.csv
0.8583719391131701,0.7677463818056512,0.92448132780083,0.838855421686747,0.888215595598788,0.3199999999999999,1114,1480,337,91,lr,under,over_sampled_residual_cnn_features_256.csv
0.8269358041032429,0.7246376811594203,0.9128630705394192,0.8079324274697025,0.8677816345850426,0.3099999999999999,1100,1399,418,105,lr,under,under_sampled_residual_cnn_features_32.csv
0.8074123097286565,0.6900549115314216,0.9385892116182571,0.7953586497890295,0.8755225267069205,0.2299999999999999,1131,1309,508,74,lr,under,under_sampled_residual_cnn_features_64.csv
0.8395102581072138,0.7359108781127129,0.9319502074688796,0.8224093738557305,0.884809328710999,0.2899999999999999,1123,1414,403,82,lr,under,under_sampled_residual_cnn_features_128.csv
0.8620119126406354,0.7782485875706214,0.9145228215767636,0.8409004196871424,0.8835792174470815,0.3499999999999998,1102,1503,314,103,lr,under,under_sampled_residual_cnn_features_256.csv
0.8332230311052283,0.723961661341853,0.9402489626556016,0.8180505415162455,0.8872357086922474,0.2599999999999999,1133,1385,432,72,lr,under,weighted_residual_cnn_features_32.csv
0.8269358041032429,0.7166454891994918,0.9360995850622408,0.8118028067650234,0.8820769471379418,0.12,1128,1371,446,77,xgboost,normal,normal_residual_cnn_features_32.csv
0.7839179351422899,0.6606519208381839,0.941908713692946,0.776599384194321,0.8680024472315693,0.2299999999999999,1135,1234,583,70,lr,under,weighted_residual_cnn_features_64.csv
0.8186631369953673,0.703657780533168,0.941908713692946,0.8055358410220014,0.8821700606249029,0.2499999999999999,1135,1339,478,70,lr,under,weighted_residual_cnn_features_128.csv
0.828590337524818,0.7178186429930248,0.9394190871369296,0.813803019410496,0.8847897451930592,0.2699999999999999,1132,1372,445,73,lr,under,weighted_residual_cnn_features_256.csv
0.8362011912640636,0.7314211212516297,0.9311203319502076,0.8192771084337349,0.882908404154863,0.1399999999999999,1122,1405,412,83,xgboost,normal,normal_residual_cnn_features_64.csv
0.814361350099272,0.6985203452527744,0.9402489626556016,0.8015564202334631,0.8793852840732692,0.2099999999999999,1133,1328,489,72,lr,over,normal_residual_cnn_features_32.csv
0.8226340172071476,0.710509754562618,0.9369294605809128,0.8081603435934145,0.8807926353565299,0.2499999999999999,1129,1357,460,76,lr,over,normal_residual_cnn_features_64.csv
0.8325612177365983,0.7279843444227005,0.9261410788381744,0.8151935719503287,0.8783252006925861,0.2999999999999999,1116,1400,417,89,lr,over,normal_residual_cnn_features_128.csv
0.8332230311052283,0.72893533638145,0.9261410788381744,0.8157894736842105,0.8786017949929145,0.2899999999999999,1116,1402,415,89,lr,over,normal_residual_cnn_features_256.csv
0.8471211118464593,0.7420195439739413,0.9452282157676348,0.8313868613138686,0.8961447678992919,0.2499999999999999,1139,1421,396,66,lr,over,over_sampled_residual_cnn_features_32.csv
0.8242885506287227,0.7154731457800512,0.9286307053941908,0.8082340195016251,0.8764097744360902,0.1399999999999999,1119,1372,445,86,xgboost,normal,normal_residual_cnn_features_128.csv
0.7819324950363997,0.656,0.9526970954356846,0.7769881556683587,0.8736681887366818,0.1999999999999999,1148,1215,602,57,lr,over,over_sampled_residual_cnn_features_64.csv
0.8309066843150231,0.7227214377406932,0.9344398340248964,0.8150560984437206,0.8827218563813107,0.2699999999999999,1126,1385,432,79,lr,over,over_sampled_residual_cnn_features_128.csv
0.8547319655857049,0.7616120218579235,0.925311203319502,0.8355189209441738,0.8871737746658179,0.3099999999999999,1115,1468,349,90,lr,over,over_sampled_residual_cnn_features_256.csv
0.7686962276637989,0.6411830357142857,0.9535269709543568,0.7667667667667668,0.8688747731397459,0.1899999999999999,1149,1174,643,56,lr,over,under_sampled_residual_cnn_features_32.csv
0.8041032428855063,0.6847498493068114,0.9427385892116182,0.7932960893854749,0.8766784997684828,0.2199999999999999,1136,1294,523,69,lr,over,under_sampled_residual_cnn_features_64.csv
0.8454665784248842,0.7469879518072289,0.9261410788381744,0.8269729529455354,0.8837503959455179,0.2999999999999999,1116,1439,378,89,lr,over,under_sampled_residual_cnn_features_128.csv
0.8514228987425546,0.7574931880108992,0.9228215767634856,0.8320239431350542,0.8842239185750637,0.3199999999999999,1112,1461,356,93,lr,over,under_sampled_residual_cnn_features_256.csv
0.828921244209133,0.7177215189873418,0.9410788381742738,0.814362657091562,0.8859375,0.2499999999999999,1134,1371,446,71,lr,over,weighted_residual_cnn_features_32.csv
0.771674387822634,0.6445816956765862,0.9526970954356846,0.768921634293369,0.8695652173913043,0.1999999999999999,1148,1184,633,57,lr,over,weighted_residual_cnn_features_64.csv
0.8044341495698213,0.6831742243436754,0.950207468879668,0.7948628948281846,0.8813115763546798,0.2099999999999999,1145,1286,531,60,lr,over,weighted_residual_cnn_features_128.csv
0.814361350099272,0.6958637469586375,0.9493775933609958,0.803088803088803,0.8849009900990099,0.12,1144,1317,500,61,xgboost,normal,normal_residual_cnn_features_256.csv
0.8226340172071476,0.7081518357187305,0.9443983402489626,0.8093883357041252,0.8853275245059904,0.2499999999999999,1138,1348,469,67,lr,over,weighted_residual_cnn_features_256.csv
0.8117140966247518,0.6950920245398773,0.9402489626556016,0.799294532627866,0.8782945736434109,0.1499999999999999,1133,1320,497,72,lr,weighted,normal_residual_cnn_features_32.csv
0.8196558570483123,0.7059925093632958,0.9385892116182571,0.8058425365158532,0.8805668016194332,0.1799999999999999,1131,1346,471,74,lr,weighted,normal_residual_cnn_features_64.csv
0.8309066843150231,0.7157960199004975,0.9551867219917012,0.8183434056167792,0.8953018046048538,0.1,1151,1360,457,54,xgboost,normal,over_sampled_residual_cnn_features_32.csv
0.8275976174718729,0.7200772200772201,0.9286307053941908,0.8111634650235593,0.8777847505491058,0.2099999999999999,1119,1382,435,86,lr,weighted,normal_residual_cnn_features_128.csv
0.8318994043679683,0.7261518494484102,0.9286307053941908,0.8150036416605972,0.879578682597076,0.2099999999999999,1119,1395,422,86,lr,weighted,normal_residual_cnn_features_256.csv
0.8477829252150894,0.7433050293925539,0.9443983402489626,0.8318713450292398,0.8959219020626673,0.1799999999999999,1138,1424,393,67,lr,weighted,over_sampled_residual_cnn_features_32.csv
0.7789543348775645,0.6517806670435274,0.9568464730290456,0.7753866845998655,0.8749430869631204,0.1399999999999999,1153,1201,616,52,lr,weighted,over_sampled_residual_cnn_features_64.csv
0.8381866313699536,0.735836627140975,0.9269709543568464,0.8204186558942343,0.8811928053013569,0.2199999999999999,1117,1416,401,88,lr,weighted,over_sampled_residual_cnn_features_128.csv
0.8249503639973528,0.7120451693851945,0.941908713692946,0.811003929974991,0.8847832865606485,0.1399999999999999,1135,1358,459,70,xgboost,normal,over_sampled_residual_cnn_features_64.csv
0.8553937789543349,0.7622950819672131,0.9261410788381744,0.8362682652678906,0.8879694462126034,0.2299999999999999,1116,1469,348,89,lr,weighted,over_sampled_residual_cnn_features_256.csv
0.8342157511581734,0.7365591397849462,0.9095435684647304,0.8139621240252507,0.8687381103360812,0.2399999999999999,1096,1425,392,109,lr,weighted,under_sampled_residual_cnn_features_32.csv
0.8176704169424223,0.7056603773584905,0.9311203319502076,0.8028622540250447,0.875195007800312,0.1799999999999999,1122,1349,468,83,lr,weighted,under_sampled_residual_cnn_features_64.csv
0.8365320979483786,0.7315960912052117,0.9319502074688796,0.8197080291970803,0.8835562549173879,0.2099999999999999,1123,1405,412,82,lr,weighted,under_sampled_residual_cnn_features_128.csv
0.8636664460622104,0.7806086341118188,0.9153526970954357,0.8426279602750191,0.8848066741536981,0.2699999999999999,1103,1507,310,102,lr,weighted,under_sampled_residual_cnn_features_256.csv
0.8272667107875579,0.7151858853182105,0.941908713692946,0.8130372492836676,0.8857499609801779,0.1799999999999999,1135,1365,452,70,lr,weighted,weighted_residual_cnn_features_32.csv
0.7680344142951687,0.6403118040089086,0.9543568464730292,0.7664111962679107,0.869105199516324,0.1399999999999999,1150,1171,646,55,lr,weighted,weighted_residual_cnn_features_64.csv
0.8451356717405691,0.7508509189925119,0.9153526970954357,0.824981301421092,0.8769279694705041,0.1699999999999999,1103,1451,366,102,rf,normal,normal_residual_cnn_features_32.csv
0.8213103904698875,0.7061376317420954,0.9452282157676348,0.808374733853797,0.8852790300015545,0.12,1139,1343,474,66,xgboost,normal,over_sampled_residual_cnn_features_128.csv
0.8173395102581072,0.7021671826625387,0.9410788381742738,0.8042553191489362,0.8811188811188811,0.1799999999999999,1134,1336,481,71,lr,weighted,weighted_residual_cnn_features_128.csv
0.8209794837855725,0.7054455445544554,0.946058091286307,0.8082240340304856,0.8856432566811684,0.1799999999999999,1140,1341,476,65,lr,weighted,weighted_residual_cnn_features_256.csv
0.8398411647915288,0.7363934426229508,0.9319502074688796,0.8227106227106227,0.8849487785657998,0.13,1123,1415,402,82,xgboost,normal,over_sampled_residual_cnn_features_256.csv
0.8047650562541363,0.6851294400963275,0.9443983402489626,0.7941381716678297,0.877950933497917,0.13,1138,1294,523,67,xgboost,normal,under_sampled_residual_cnn_features_32.csv
0.8041032428855063,0.6832038254632397,0.9485477178423236,0.7943015983321752,0.8801786539350069,0.11,1143,1287,530,62,xgboost,normal,under_sampled_residual_cnn_features_64.csv
0.8295830575777631,0.7203065134099617,0.9360995850622408,0.8141465175027066,0.8831819605386784,0.13,1128,1379,438,77,xgboost,normal,under_sampled_residual_cnn_features_128.csv
0.8587028457974851,0.770891364902507,0.9186721991701244,0.8383188186293071,0.8847506393861893,0.1699999999999999,1107,1488,329,98,xgboost,normal,under_sampled_residual_cnn_features_256.csv
0.8318994043679683,0.7264457439896036,0.9278008298755188,0.814868804664723,0.8790690360119515,0.1599999999999999,1118,1396,421,87,rf,normal,normal_residual_cnn_features_64.csv
0.8405029781601588,0.7342838626053143,0.9402489626556016,0.8245997088791849,0.8903033160458903,0.13,1133,1407,410,72,xgboost,normal,weighted_residual_cnn_features_32.csv
0.8064195896757115,0.6908866995073891,0.9311203319502076,0.7932131495227995,0.8705772811918063,0.1399999999999999,1122,1315,502,83,xgboost,normal,weighted_residual_cnn_features_64.csv
0.8328921244209133,0.7249357326478149,0.9360995850622408,0.8170952553422673,0.8845671267252195,0.1399999999999999,1128,1389,428,77,xgboost,normal,weighted_residual_cnn_features_128.csv
0.7951687624090007,0.6707459207459208,0.9551867219917012,0.7880862718247176,0.8805079559363526,0.11,1151,1252,565,54,xgboost,normal,weighted_residual_cnn_features_256.csv
0.8103904698874917,0.6905910735826297,0.950207468879668,0.7998602864128537,0.8837604198826798,0.1499999999999999,1145,1304,513,60,xgboost,under,normal_residual_cnn_features_32.csv
0.8292521508934481,0.7212588310854207,0.9319502074688796,0.8131788559015206,0.8805080758977576,0.1999999999999999,1123,1383,434,82,xgboost,under,normal_residual_cnn_features_64.csv
0.8024487094639312,0.6822541966426858,0.9443983402489626,0.7922032718412809,0.877003699136868,0.1699999999999999,1138,1287,530,67,xgboost,under,normal_residual_cnn_features_128.csv
0.8537392455327598,0.7640138408304499,0.9161825726141078,0.8332075471698113,0.8810853950518756,0.11,1104,1476,341,101,svm,normal,normal_residual_cnn_features_32.csv
0.8226340172071476,0.7089319175515303,0.941908713692946,0.8089807555238774,0.8838187198255724,0.1899999999999999,1135,1351,466,70,xgboost,under,normal_residual_cnn_features_256.csv
0.8166776968894772,0.704588309239472,0.9302904564315352,0.801859799713877,0.8742785836842927,0.1499999999999999,1121,1347,470,84,rf,normal,normal_residual_cnn_features_128.csv
0.8414956982131039,0.7335907335907336,0.946058091286307,0.8263863718738673,0.8942579228114214,0.1699999999999999,1140,1403,414,65,xgboost,under,over_sampled_residual_cnn_features_32.csv
0.8272667107875579,0.7160025300442757,0.9394190871369296,0.8126346015793252,0.8842368379940634,0.2199999999999999,1132,1368,449,73,xgboost,under,over_sampled_residual_cnn_features_64.csv
0.8540701522170748,0.7605729877216917,0.925311203319502,0.8348932983901161,0.886891504931594,0.2599999999999999,1115,1466,351,90,xgboost,under,over_sampled_residual_cnn_features_128.csv
0.8491065519523494,0.7542430414120842,0.9219917012448132,0.8297236743838685,0.8827268393453043,0.2299999999999999,1111,1455,362,94,xgboost,under,over_sampled_residual_cnn_features_256.csv
0.8021178027796162,0.6803327391562686,0.950207468879668,0.7929362880886427,0.8803629094264186,0.1899999999999999,1145,1279,538,60,xgboost,under,under_sampled_residual_cnn_features_32.csv
0.8047650562541363,0.6842420611144397,0.9477178423236514,0.7947112038970077,0.8799506857759285,0.1599999999999999,1142,1290,527,63,xgboost,under,under_sampled_residual_cnn_features_64.csv
0.8378557246856386,0.7338129496402878,0.9311203319502076,0.8207754206291149,0.8836037171208064,0.2199999999999999,1122,1410,407,83,xgboost,under,under_sampled_residual_cnn_features_128.csv
0.8587028457974851,0.7697642163661581,0.921161825726141,0.8386853041178692,0.8862983072500799,0.2599999999999999,1110,1485,332,95,xgboost,under,under_sampled_residual_cnn_features_256.csv
0.828590337524818,0.7153605015673982,0.9468879668049792,0.815,0.8893219017926735,0.1699999999999999,1141,1363,454,64,xgboost,under,weighted_residual_cnn_features_32.csv
0.7938451356717405,0.6734207389749702,0.9377593360995852,0.7839056538328131,0.8694983071714374,0.1899999999999999,1130,1269,548,75,xgboost,under,weighted_residual_cnn_features_64.csv
0.8047650562541363,0.6853526220614828,0.9435684647302904,0.7939944134078212,0.8774502237999692,0.12,1137,1295,522,68,rf,normal,normal_residual_cnn_features_256.csv
0.8461283917935142,0.7473262032085561,0.9278008298755188,0.8278415401703073,0.8850538315389487,0.2499999999999999,1118,1439,378,87,xgboost,under,weighted_residual_cnn_features_128.csv
0.828259430840503,0.7173637515842839,0.9394190871369296,0.8135106000718649,0.8846514535792435,0.2099999999999999,1132,1371,446,73,xgboost,under,weighted_residual_cnn_features_256.csv
0.8203176704169424,0.7066167290886392,0.9394190871369296,0.8065550409690061,0.8813453752725008,0.1499999999999999,1132,1347,470,73,xgboost,over,normal_residual_cnn_features_32.csv
0.8395102581072138,0.7380952380952381,0.9261410788381744,0.8214942951785057,0.881238155401137,0.2099999999999999,1116,1421,396,89,xgboost,over,normal_residual_cnn_features_64.csv
0.828590337524818,0.712430426716141,0.9560165975103736,0.8164422395464209,0.8948267826627311,0.1,1152,1352,465,53,rf,normal,over_sampled_residual_cnn_features_32.csv
0.8318994043679683,0.7279267495094833,0.9236514522821576,0.8141916605705926,0.87651598676957,0.2099999999999999,1113,1401,416,92,xgboost,over,normal_residual_cnn_features_128.csv
0.8262739907346128,0.7149178255372945,0.9385892116182571,0.8116254036598493,0.8833177132146204,0.1799999999999999,1131,1366,451,74,xgboost,over,normal_residual_cnn_features_256.csv
0.8223031105228326,0.7024242424242424,0.9618257261410788,0.8119089316987741,0.8956723338485317,0.11,1159,1326,491,46,xgboost,over,over_sampled_residual_cnn_features_32.csv
0.8093977498345467,0.6904906117504542,0.946058091286307,0.7983193277310925,0.8808530366249421,0.1599999999999999,1140,1306,511,65,xgboost,over,over_sampled_residual_cnn_features_64.csv
0.8246194573130378,0.7110694183864915,0.9435684647302904,0.8109843081312411,0.8856519707119489,0.1699999999999999,1137,1355,462,68,xgboost,over,over_sampled_residual_cnn_features_128.csv
0.8494374586366644,0.7622377622377622,0.9045643153526972,0.8273244781783681,0.872,0.12,1090,1477,340,115,svm,normal,normal_residual_cnn_features_64.csv
0.8520847121111846,0.7613793103448275,0.9161825726141078,0.831638418079096,0.8803827751196173,0.2299999999999999,1104,1471,346,101,xgboost,over,over_sampled_residual_cnn_features_256.csv
0.8037723362011913,0.6836734693877551,0.9452282157676348,0.7934517589690003,0.8780450200431699,0.1699999999999999,1139,1290,527,66,xgboost,over,under_sampled_residual_cnn_features_32.csv
0.799139642620781,0.6767139479905437,0.950207468879668,0.7904729030031067,0.8791461916461917,0.1399999999999999,1145,1270,547,60,xgboost,over,under_sampled_residual_cnn_features_64.csv
0.8547319655857049,0.7674581005586593,0.9120331950207468,0.8335229427379598,0.8789187460012796,0.2199999999999999,1099,1484,333,106,rf,normal,over_sampled_residual_cnn_features_64.csv
0.828590337524818,0.7186505410566518,0.9369294605809128,0.8134005763688761,0.8832733531528713,0.1799999999999999,1129,1375,442,76,xgboost,over,under_sampled_residual_cnn_features_128.csv
0.8653209794837856,0.7845934379457917,0.9128630705394192,0.8438818565400844,0.8839601414336227,0.2699999999999999,1100,1515,302,105,xgboost,over,under_sampled_residual_cnn_features_256.csv
0.8418266048974189,0.7371167645140247,0.9377593360995852,0.8254200146092038,0.8893436171887298,0.1899999999999999,1130,1414,403,75,xgboost,over,weighted_residual_cnn_features_32.csv
0.7945069490403707,0.6738095238095239,0.9394190871369296,0.7847487001733102,0.8707692307692307,0.1699999999999999,1132,1269,548,73,xgboost,over,weighted_residual_cnn_features_64.csv
0.8206485771012575,0.7060285891858297,0.9427385892116182,0.8073916133617626,0.8834966557785037,0.1599999999999999,1136,1344,473,69,xgboost,over,weighted_residual_cnn_features_128.csv
0.8034414295168762,0.683043738765728,0.946058091286307,0.7933194154488518,0.878409616273694,0.1499999999999999,1140,1288,529,65,xgboost,over,weighted_residual_cnn_features_256.csv
0.8269358041032429,0.7166454891994918,0.9360995850622408,0.8118028067650234,0.8820769471379418,0.12,1128,1371,446,77,xgboost,weighted,normal_residual_cnn_features_32.csv
0.8262739907346128,0.7141057934508817,0.9410788381742738,0.8120300751879699,0.8848314606741573,0.1399999999999999,1134,1363,454,71,rf,normal,over_sampled_residual_cnn_features_128.csv
0.8362011912640636,0.7314211212516297,0.9311203319502076,0.8192771084337349,0.882908404154863,0.1399999999999999,1122,1405,412,83,xgboost,weighted,normal_residual_cnn_features_64.csv
0.8242885506287227,0.7154731457800512,0.9286307053941908,0.8082340195016251,0.8764097744360902,0.1399999999999999,1119,1372,445,86,xgboost,weighted,normal_residual_cnn_features_128.csv
0.814361350099272,0.6958637469586375,0.9493775933609958,0.803088803088803,0.8849009900990099,0.12,1144,1317,500,61,xgboost,weighted,normal_residual_cnn_features_256.csv
0.8309066843150231,0.7157960199004975,0.9551867219917012,0.8183434056167792,0.8953018046048538,0.1,1151,1360,457,54,xgboost,weighted,over_sampled_residual_cnn_features_32.csv
0.8249503639973528,0.7120451693851945,0.941908713692946,0.811003929974991,0.8847832865606485,0.1399999999999999,1135,1358,459,70,xgboost,weighted,over_sampled_residual_cnn_features_64.csv
0.8213103904698875,0.7061376317420954,0.9452282157676348,0.808374733853797,0.8852790300015545,0.12,1139,1343,474,66,xgboost,weighted,over_sampled_residual_cnn_features_128.csv
0.814361350099272,0.6982758620689655,0.9410788381742738,0.8016967126193001,0.8798882681564246,0.12,1134,1327,490,71,rf,normal,over_sampled_residual_cnn_features_256.csv
0.8398411647915288,0.7363934426229508,0.9319502074688796,0.8227106227106227,0.8849487785657998,0.13,1123,1415,402,82,xgboost,weighted,over_sampled_residual_cnn_features_256.csv
0.8047650562541363,0.6851294400963275,0.9443983402489626,0.7941381716678297,0.877950933497917,0.13,1138,1294,523,67,xgboost,weighted,under_sampled_residual_cnn_features_32.csv
0.8041032428855063,0.6832038254632397,0.9485477178423236,0.7943015983321752,0.8801786539350069,0.11,1143,1287,530,62,xgboost,weighted,under_sampled_residual_cnn_features_64.csv
0.8295830575777631,0.7203065134099617,0.9360995850622408,0.8141465175027066,0.8831819605386784,0.13,1128,1379,438,77,xgboost,weighted,under_sampled_residual_cnn_features_128.csv
0.8587028457974851,0.770891364902507,0.9186721991701244,0.8383188186293071,0.8847506393861893,0.1699999999999999,1107,1488,329,98,xgboost,weighted,under_sampled_residual_cnn_features_256.csv
0.8087359364659166,0.6924493554327809,0.9360995850622408,0.7960479887085392,0.8745541944487517,0.1499999999999999,1128,1316,501,77,rf,normal,under_sampled_residual_cnn_features_32.csv
0.8405029781601588,0.7342838626053143,0.9402489626556016,0.8245997088791849,0.8903033160458903,0.13,1133,1407,410,72,xgboost,weighted,weighted_residual_cnn_features_32.csv
0.8064195896757115,0.6908866995073891,0.9311203319502076,0.7932131495227995,0.8705772811918063,0.1399999999999999,1122,1315,502,83,xgboost,weighted,weighted_residual_cnn_features_64.csv
0.8328921244209133,0.7249357326478149,0.9360995850622408,0.8170952553422673,0.8845671267252195,0.1399999999999999,1128,1389,428,77,xgboost,weighted,weighted_residual_cnn_features_128.csv
0.7951687624090007,0.6707459207459208,0.9551867219917012,0.7880862718247176,0.8805079559363526,0.11,1151,1252,565,54,xgboost,weighted,weighted_residual_cnn_features_256.csv
0.7895433487756452,0.6658892128279883,0.9477178423236514,0.7821917808219178,0.8737566947207345,0.11,1142,1244,573,63,rf,normal,under_sampled_residual_cnn_features_64.csv
0.8408338848444739,0.7455902306648575,0.9120331950207468,0.8204553938036581,0.873053701938354,0.12,1099,1442,375,106,svm,normal,normal_residual_cnn_features_128.csv
0.8272667107875579,0.7196141479099678,0.9286307053941908,0.8108695652173913,0.8776470588235294,0.1399999999999999,1119,1381,436,86,rf,normal,under_sampled_residual_cnn_features_128.csv
0.8424884182660489,0.7402768622280818,0.9319502074688796,0.8251285819250551,0.8860659618115828,0.1499999999999999,1123,1423,394,82,rf,normal,under_sampled_residual_cnn_features_256.csv
0.8074123097286565,0.687537627934979,0.9477178423236514,0.7969295184926727,0.8810368770251504,0.11,1142,1298,519,63,rf,normal,weighted_residual_cnn_features_32.csv
0.7892124420913302,0.6674528301886793,0.9394190871369296,0.7804205446397794,0.8686310620012277,0.1399999999999999,1132,1253,564,73,rf,normal,weighted_residual_cnn_features_64.csv
0.8070814030443415,0.6864508393285371,0.950207468879668,0.7970762269404803,0.8823982737361282,0.12,1145,1294,523,60,rf,normal,weighted_residual_cnn_features_128.csv
0.8024487094639312,0.6829121540312876,0.941908713692946,0.7917683990233694,0.8755013884603517,0.13,1135,1290,527,70,rf,normal,weighted_residual_cnn_features_256.csv
0.8474520185307743,0.7583333333333333,0.9062240663900416,0.8257088846880908,0.8722044728434505,0.12,1092,1469,348,113,svm,normal,normal_residual_cnn_features_256.csv
0.8262739907346128,0.7171136653895275,0.9319502074688796,0.8105377120173223,0.8792671468838084,0.1999999999999999,1123,1374,443,82,rf,under,normal_residual_cnn_features_32.csv
0.8401720714758438,0.7416331994645248,0.9195020746887966,0.821044831419044,0.8774152676591701,0.2599999999999999,1108,1431,386,97,rf,under,normal_residual_cnn_features_64.csv
0.8653209794837856,0.7858166189111748,0.9103734439834024,0.843521722414456,0.8824002574002574,0.1,1097,1518,299,108,svm,normal,over_sampled_residual_cnn_features_32.csv
0.814692256783587,0.7009345794392523,0.933609958506224,0.800711743772242,0.8754863813229572,0.2199999999999999,1125,1337,480,80,rf,under,normal_residual_cnn_features_128.csv
0.7951687624090007,0.6723529411764706,0.9485477178423236,0.7869191049913942,0.8765337423312883,0.1599999999999999,1143,1260,557,62,rf,under,normal_residual_cnn_features_256.csv
0.8219722038385175,0.7034777303233679,0.9568464730290456,0.8108298171589311,0.8925530267843319,0.1399999999999999,1153,1331,486,52,rf,under,over_sampled_residual_cnn_features_32.csv
0.8421575115817339,0.7423435419440746,0.925311203319502,0.8237901736239379,0.8818411894969946,0.12,1115,1430,387,90,svm,normal,over_sampled_residual_cnn_features_64.csv
0.842819324950364,0.7449664429530202,0.921161825726141,0.8237476808905381,0.8795562599049128,0.2899999999999999,1110,1437,380,95,rf,under,over_sampled_residual_cnn_features_64.csv
0.8226340172071476,0.7094552285535379,0.9402489626556016,0.8087080656673804,0.8828112825307777,0.1999999999999999,1133,1353,464,72,rf,under,over_sampled_residual_cnn_features_128.csv
0.7978160158835208,0.6738875878220141,0.9551867219917012,0.7902506007552351,0.8815870098039216,0.1499999999999999,1151,1260,557,54,rf,under,over_sampled_residual_cnn_features_256.csv
